gesture@gvh1945m	@gvh1945m	1269.805	1277.485	раскрытие ладоней друг к другу
gesture@gvh1945m	@gvh1945m	1279.3	1282.07	круговые движения раскрытой левой ладонью
gesture@gvh1945m	@gvh1945m	1290.67	1291.39	поднятие указательного пальца левой руки
gesture@gvh1945m	@gvh1945m	1303.19	1317.29	покачивания полусжатой ладонью левой руки
gesture@gvh1945m	@gvh1945m	1419.595	1422.975	сжатие и расжатие левого кулака
gesture@gvh1945m	@gvh1945m	1432.665	1434.875	ладони смотрят вниз, предплечия движутся из стороны к центру
gesture@gvh1945m	@gvh1945m	1436.25	1441.18	обращенные друг к другу ладони сходятся и расходятся
gesture@gvh1945m	@gvh1945m	1443.364	1445.5	ладони обращены к полу, предплечия движутся от центра в стороны и наоборот
gesture@gvh1945m	@gvh1945m	1445.58	1460.56	ладони раскрыты, множественные движения предплечиями в разных направлениях
gesture@gvh1945m	@gvh1945m	1461.37	1467.54	покачивания левым кулаком
gesture@gvh1945m	@gvh1945m	1467.57	1477.08	левая ладонь полусжата, раскачивание левым предплечием
gesture@gvh1945m	@gvh1945m	1477.18	1480.18	зигзагообразные движения раскрытой правой ладонью
gesture@gvh1945m	@gvh1945m	1480.21	1481.15	разведение предплечий
gesture@dap1994m	@dap1994m	1138.21	1144.19	левая рука движение вверх-вниз
gesture@dap1994m	@dap1994m	1145.51	1148.0	левая рука движение ладонью от себя
gesture@dap1994m	@dap1994m	1150.2	1151.36	обе руки движение вправо-влево
gesture@dap1994m	@dap1994m	1160.89	1161.82	правая рука подьем ладони
gesture@dap1994m	@dap1994m	1182.41	1187.86	голова повторяющиеся кивки
gesture@dap1994m	@dap1994m	1219.05	1224.54	голова короткие повторяющиеся кивки
gesture@dap1994m	@dap1994m	1229.76	1238.31	левая рука ладонь направлена на собеседника
gesture@dap1994m	@dap1994m	1238.97	1240.08	левая рука кисть описывает круг
gesture@dap1994m	@dap1994m	1249.09	1249.49	левая рука кисть направлена к собеседнику
gesture@dap1994m	@dap1994m	1271.41	1289.08	левая рука покоится у подбородка, редкие кивки головой
gesture@dap1994m	@dap1994m	1296.63	1297.54	правая рука движение змейкой
gesture@dap1994m	@dap1994m	1335.41	1339.32	правая рука палец указательный палец вниз
gesture@dap1994m	@dap1994m	1341.74	1350.58	покачивания левой ладонью
gesture@dap1994m	@dap1994m	1350.59	1352.27	обе руки раскрывает ладони
gesture@dap1994m	@dap1994m	1352.27	1358.37	обе руки ладони сложены
gesture@dap1994m	@dap1994m	1358.37	1359.85	левая рука движение указательного пальца из стороны в сторону
gesture@dap1994m	@dap1994m	1359.86	1361.83	левая рука движение ладони из стороны в сторону
gesture@dap1994m	@dap1994m	1361.88	1375.06	левая ладонь чуть сжата, предплечие покачивается
gesture@dap1994m	@dap1994m	1375.32	1377.19	обе руки пальцы растопырены
gesture@dap1994m	@dap1994m	1377.19	1381.5	обе руки тыльная часть ладони трется о другую
gesture@dap1994m	@dap1994m	1381.5	1393.5	обе руки сложенные ладони движутся и раскрываются
gesture@dap1994m	@dap1994m	1400.24	1403.26	левая рука движется от сердца к собеседнику
gesture@dap1994m	@dap1994m	1423.36	1425.58	кивки головой
gesture@dap1994m	@dap1994m	1441.28	1442.16	обе руки разведение в стороны
gesture@dap1994m	@dap1994m	1442.19	1443.2	ладонь покоится у подбородка
gestMeaning@gvh1945m	@gvh1945m	1157.845	1158.455	отрицание
gestMeaning@gvh1945m	@gvh1945m	1171.58	1173.69	отсылка к ранее сказанному
gestMeaning@gvh1945m	@gvh1945m	1182.575	1183.255	неясно
gestMeaning@gvh1945m	@gvh1945m	1188.885	1227.205	акцентирование внимания на речи
gestMeaning@gvh1945m	@gvh1945m	1244.19	1245.06	настаивание
gestMeaning@gvh1945m	@gvh1945m	1264.255	1268.035	флюидность,изменение
gestMeaning@gvh1945m	@gvh1945m	1269.805	1277.485	неясность
gestMeaning@gvh1945m	@gvh1945m	1279.3	1282.07	следствие
gestMeaning@gvh1945m	@gvh1945m	1290.67	1291.39	акцент
gestMeaning@gvh1945m	@gvh1945m	1303.19	1317.29	изложение мысли
gestMeaning@gvh1945m	@gvh1945m	1419.595	1422.975	неясно
gestMeaning@gvh1945m	@gvh1945m	1432.665	1434.875	снятие ограничений
gestMeaning@gvh1945m	@gvh1945m	1436.25	1441.18	изображение течения воды
gestMeaning@gvh1945m	@gvh1945m	1443.364	1445.5	изображение течения воды
gestMeaning@gvh1945m	@gvh1945m	1445.58	1460.56	изображение течения воды, изложение мысли
gestMeaning@gvh1945m	@gvh1945m	1461.37	1467.54	неясно
gestMeaning@gvh1945m	@gvh1945m	1467.57	1477.08	изложение мысли
gestMeaning@gvh1945m	@gvh1945m	1477.18	1480.18	изображение течения воды
gestMeaning@gvh1945m	@gvh1945m	1480.21	1481.15	неясно
gestMeaning@dap1994m	@dap1994m	1138.21	1144.19	привлечение внимания к формулировке вопроса
gestMeaning@dap1994m	@dap1994m	1145.51	1148.0	указание
gestMeaning@dap1994m	@dap1994m	1150.2	1151.36	выражение неофициальности предмета разговора
gestMeaning@dap1994m	@dap1994m	1160.89	1161.82	вопрос
gestMeaning@dap1994m	@dap1994m	1182.41	1187.86	слушателю вполне ясно, о чем говорит собеседник
gestMeaning@dap1994m	@dap1994m	1219.05	1224.54	слушатель понимает и соггласен с говорящим
gestMeaning@dap1994m	@dap1994m	1229.76	1238.31	привлечение внимания,вопрос
gestMeaning@dap1994m	@dap1994m	1238.97	1240.08	обобщение 
gestMeaning@dap1994m	@dap1994m	1249.09	1249.49	обращение
gestMeaning@dap1994m	@dap1994m	1271.41	1289.08	интерес,внимание,согласие
gestMeaning@dap1994m	@dap1994m	1296.63	1297.54	подстройка под ситуацию
gestMeaning@dap1994m	@dap1994m	1335.41	1339.32	указание
gestMeaning@dap1994m	@dap1994m	1341.74	1350.58	изложение мысли
gestMeaning@dap1994m	@dap1994m	1350.59	1352.27	обращение
gestMeaning@dap1994m	@dap1994m	1352.27	1358.37	изложение своей мысли
gestMeaning@dap1994m	@dap1994m	1358.37	1359.85	поучение
gestMeaning@dap1994m	@dap1994m	1359.86	1361.83	пренебрежение
gestMeaning@dap1994m	@dap1994m	1361.88	1375.06	изложение мысли
gestMeaning@dap1994m	@dap1994m	1375.32	1377.19	описание
gestMeaning@dap1994m	@dap1994m	1377.19	1381.5	выражение наслоения
gestMeaning@dap1994m	@dap1994m	1381.5	1393.5	выражение своей позиции
gestMeaning@dap1994m	@dap1994m	1400.24	1403.26	оправдание
gestMeaning@dap1994m	@dap1994m	1423.36	1425.58	согласие
gestMeaning@dap1994m	@dap1994m	1441.28	1442.16	иллюстрация потока воды
gestMeaning@dap1994m	@dap1994m	1442.19	1443.2	интерес
words@dap1994m	@dap1994m	1138.25	1138.637	как
words@dap1994m	@dap1994m	1138.637	1139.024	во
words@dap1994m	@dap1994m	1139.024	1139.411	времена
words@dap1994m	@dap1994m	1139.411	1139.798	ээ
words@dap1994m	@dap1994m	1139.798	1140.185	вот
words@dap1994m	@dap1994m	1140.185	1140.572	в
words@dap1994m	@dap1994m	1140.572	1140.959	ваши
words@dap1994m	@dap1994m	1140.959	1141.346	когда
words@dap1994m	@dap1994m	1141.346	1141.733	надо
